1,"{'interlocutor_id': 'CU', 'Openness': 3.8333332538604736, 'Conscientiousness': 5.25, 'Extraversion': 5.833333492279053, 'Agreeableness': 4.75, 'Neuroticism': 5.0, 'Category': 'O_Low'}"
2,"{'interlocutor_id': 'DT', 'Openness': 4.833333492279053, 'Conscientiousness': 3.5, 'Extraversion': 3.5833332538604736, 'Agreeableness': 4.333333492279053, 'Neuroticism': 4.583333492279053, 'Category': 'O_Middle'}"
3,"{'interlocutor_id': 'BJ', 'Openness': 5.5, 'Conscientiousness': 3.0, 'Extraversion': 5.083333492279053, 'Agreeableness': 4.333333492279053, 'Neuroticism': 5.166666507720947, 'Category': 'O_High'}"
4,"{'interlocutor_id': 'EE', 'Openness': 4.25, 'Conscientiousness': 2.1666667461395264, 'Extraversion': 3.8333332538604736, 'Agreeableness': 3.9166667461395264, 'Neuroticism': 5.25, 'Category': 'C_Low'}"
5,"{'interlocutor_id': 'DG', 'Openness': 4.833333492279053, 'Conscientiousness': 4.25, 'Extraversion': 4.416666507720947, 'Agreeableness': 3.75, 'Neuroticism': 6.083333492279053, 'Category': 'C_Middle'}"
6,"{'interlocutor_id': 'BE', 'Openness': 4.5, 'Conscientiousness': 5.166666507720947, 'Extraversion': 4.833333492279053, 'Agreeableness': 4.833333492279053, 'Neuroticism': 4.25, 'Category': 'C_High'}"
7,"{'interlocutor_id': 'CO', 'Openness': 4.833333492279053, 'Conscientiousness': 4.25, 'Extraversion': 3.9166667461395264, 'Agreeableness': 4.5, 'Neuroticism': 3.1666667461395264, 'Category': 'E_Low'}"
8,"{'interlocutor_id': 'EK', 'Openness': 4.416666507720947, 'Conscientiousness': 5.333333492279053, 'Extraversion': 4.416666507720947, 'Agreeableness': 5.583333492279053, 'Neuroticism': 4.25, 'Category': 'E_Middle'}"
9,"{'interlocutor_id': 'GQ', 'Openness': 4.583333492279053, 'Conscientiousness': 3.6666667461395264, 'Extraversion': 6.5, 'Agreeableness': 6.333333492279053, 'Neuroticism': 4.0, 'Category': 'E_High'}"
10,"{'interlocutor_id': 'HE', 'Openness': 1.0833333730697632, 'Conscientiousness': 5.5, 'Extraversion': 4.5, 'Agreeableness': 3.6666667461395264, 'Neuroticism': 2.5833332538604736, 'Category': 'A_Low'}"
11,"{'interlocutor_id': 'EQ', 'Openness': 4.333333492279053, 'Conscientiousness': 4.916666507720947, 'Extraversion': 4.5, 'Agreeableness': 4.916666507720947, 'Neuroticism': 4.916666507720947, 'Category': 'A_Middle'}"
12,"{'interlocutor_id': 'CC', 'Openness': 6.25, 'Conscientiousness': 3.0, 'Extraversion': 3.3333332538604736, 'Agreeableness': 5.333333492279053, 'Neuroticism': 3.0833332538604736, 'Category': 'A_High'}"
13,"{'interlocutor_id': 'EA', 'Openness': 4.833333492279053, 'Conscientiousness': 3.8333332538604736, 'Extraversion': 3.8333332538604736, 'Agreeableness': 4.166666507720947, 'Neuroticism': 3.3333332538604736, 'Category': 'N_Low'}"
14,"{'interlocutor_id': 'DE', 'Openness': 5.166666507720947, 'Conscientiousness': 2.5, 'Extraversion': 4.75, 'Agreeableness': 5.166666507720947, 'Neuroticism': 4.083333492279053, 'Category': 'N_Middle'}"
15,"{'interlocutor_id': 'DL', 'Openness': 4.083333492279053, 'Conscientiousness': 4.916666507720947, 'Extraversion': 4.166666507720947, 'Agreeableness': 5.666666507720947, 'Neuroticism': 6.25, 'Category': 'N_High'}"